Date,PX_LAST
2024-05-07,577.7411
2024-05-06,576.9475
2024-05-03,573.1897
2024-05-02,573.1694
2024-05-01,572.6671
2024-04-30,586.1663
2024-04-29,592.5599
2024-04-26,595.9391
2024-04-25,594.6023
2024-04-24,592.158
2024-04-23,593.8186
2024-04-22,589.9588
2024-04-19,590.2653
2024-04-18,586.4572
2024-04-17,587.1469
2024-04-16,596.8136
2024-04-15,596.954
2024-04-12,598.3193
2024-04-11,594.1316
2024-04-10,598.088
2024-04-09,595.7014
2024-04-08,599.1657
2024-04-05,601.9073
2024-04-04,599.1807
2024-04-03,595.0308
2024-04-02,590.5725
2024-04-01,583.8833
2024-03-28,582.4785
2024-03-27,573.8853
2024-03-26,575.5686
2024-03-25,579.7629
2024-03-22,574.4392
2024-03-21,576.9454
2024-03-20,577.1457
2024-03-19,582.9084
2024-03-18,582.4037
2024-03-15,575.3409
2024-03-14,573.8452
2024-03-13,570.2859
2024-03-12,561.3222
2024-03-11,561.7639
2024-03-08,559.4604
2024-03-07,563.564
2024-03-06,562.0172
2024-03-05,557.5346
2024-03-04,561.2257
2024-03-01,564.6624
2024-02-29,557.9317
2024-02-28,557.7379
2024-02-27,561.235
2024-02-26,555.918
2024-02-23,550.9363
2024-02-22,559.288
2024-02-21,557.3309
2024-02-20,553.8723
2024-02-16,558.9548
2024-02-15,556.0875
2024-02-14,552.7017
2024-02-13,559.3012
2024-02-12,558.0708
2024-02-09,558.9902
2024-02-08,556.102
2024-02-07,547.7469
2024-02-06,544.6871
2024-02-05,541.2877
2024-02-02,540.0082
2024-02-01,547.5653
2024-01-31,555.0681
2024-01-30,561.2278
2024-01-29,556.178
2024-01-26,561.451
2024-01-25,558.6468
2024-01-24,549.8603
2024-01-23,545.4299
2024-01-22,543.8602
2024-01-19,538.8274
2024-01-18,540.6366
2024-01-17,534.3057
2024-01-16,537.0067
2024-01-12,538.3328
2024-01-11,537.0728
2024-01-10,533.7332
2024-01-09,538.1895
2024-01-08,530.1905
2024-01-05,541.7565
2024-01-04,536.9945
2024-01-03,539.1639
2024-01-02,530.485
2023-12-29,535.6413
2023-12-28,538.902
2023-12-27,547.0581
2023-12-26,551.1537
2023-12-22,543.727
2023-12-21,543.7928
2023-12-20,545.8156
2023-12-19,546.2658
2023-12-18,541.5535
2023-12-15,537.5608
2023-12-14,535.4846
2023-12-13,522.7081
2023-12-12,520.2613
2023-12-11,530.4033
2023-12-08,531.902
2023-12-07,525.1421
2023-12-06,525.0516
2023-12-05,539.8957
2023-12-04,543.0467
2023-12-01,548.7058
2023-11-30,555.7702
2023-11-29,563.3776
2023-11-28,558.4773
2023-11-27,549.7359
2023-11-24,554.5442
2023-11-22,561.7142
2023-11-21,566.3469
2023-11-20,565.0044
2023-11-17,556.7494
2023-11-16,547.6106
2023-11-15,563.5154
2023-11-14,567.5568
2023-11-13,566.9747
2023-11-10,558.0461
2023-11-09,554.801
2023-11-08,555.7555
2023-11-07,562.5783
2023-11-06,578.6681
2023-11-03,577.8941
2023-11-02,584.1828
2023-11-01,575.2869
2023-10-31,576.9723
2023-10-30,579.5079
2023-10-27,591.4137
2023-10-26,582.7777
2023-10-25,589.0052
2023-10-24,583.4583
2023-10-23,590.7658
2023-10-20,600.7975
2023-10-19,602.406
2023-10-18,598.9816
2023-10-17,591.4034
2023-10-16,591.3278
2023-10-13,595.8477
2023-10-12,577.9808
2023-10-11,577.2121
2023-10-10,585.0868
2023-10-09,587.6353
2023-10-06,575.7124
2023-10-05,573.2747
2023-10-04,579.7286
2023-10-03,600.2809
2023-10-02,602.0114
2023-09-29,609.6686
2023-09-28,615.7246
2023-09-27,618.3013
2023-09-26,609.0479
2023-09-25,609.1948
2023-09-22,611.2389
2023-09-21,612.0985
2023-09-20,614.4681
2023-09-19,617.5201
2023-09-18,616.9152
2023-09-15,618.0503
2023-09-14,619.6288
2023-09-13,613.0078
2023-09-12,612.3986
2023-09-11,609.278
2023-09-08,606.9938
2023-09-07,603.8761
2023-09-06,605.1005
2023-09-05,604.2076
2023-09-01,598.9845
2023-08-31,591.4241
2023-08-30,586.7674
2023-08-29,586.7269
2023-08-28,585.1214
2023-08-25,585.0185
2023-08-24,579.0884
2023-08-23,577.7474
2023-08-22,578.1302
2023-08-21,579.51
2023-08-18,582.0377
2023-08-17,577.1764
2023-08-16,573.5581
2023-08-15,577.463
2023-08-14,586.3379
2023-08-11,590.7531
2023-08-10,591.8981
2023-08-09,597.7035
2023-08-08,590.5027
2023-08-07,588.3205
2023-08-04,591.6858
2023-08-03,587.4037
2023-08-02,580.7089
2023-08-01,591.6838
2023-07-31,593.4022
2023-07-28,590.9369
2023-07-27,588.4094
2023-07-26,585.2167
2023-07-25,588.8651
2023-07-24,586.0481
2023-07-21,574.7211
2023-07-20,569.8866
2023-07-19,567.8191
2023-07-18,564.2047
2023-07-17,555.831
2023-07-14,562.5178
2023-07-13,565.4211
2023-07-12,559.2236
2023-07-11,557.6841
2023-07-10,549.8888
2023-07-07,551.8415
2023-07-06,544.137
2023-07-05,545.7594
2023-07-03,536.6595
2023-06-30,540.4607
2023-06-29,535.5468
2023-06-28,535.3771
2023-06-27,533.7131
2023-06-26,542.6405
2023-06-23,541.5642
2023-06-22,547.0376
2023-06-21,559.9219
2023-06-20,550.6139
2023-06-16,557.219
2023-06-15,547.9684
2023-06-14,533.3505
2023-06-13,536.6394
2023-06-12,527.3916
2023-06-09,539.8088
2023-06-08,545.5062
2023-06-07,549.0141
2023-06-06,548.1971
