Date,PX_LAST
2024-05-22,3465.55
2024-05-21,3479.84
2024-05-20,3477.07
2024-05-17,3472.52
2024-05-16,3468.71
2024-05-15,3472.26
2024-05-14,3435.15
2024-05-13,3421.11
2024-05-10,3419.92
2024-05-09,3411.11
2024-05-08,3395.64
2024-05-07,3401.77
2024-05-06,3391.13
2024-05-03,3361.41
2024-05-02,3321.81
2024-05-01,3294.01
2024-04-30,3305.3
2024-04-29,3347.04
2024-04-26,3335.08
2024-04-25,3306.68
2024-04-24,3323.29
2024-04-23,3322.54
2024-04-22,3282.09
2024-04-19,3255.62
2024-04-18,3280.1
2024-04-17,3281.11
2024-04-16,3297.14
2024-04-15,3317.68
2024-04-12,3351.01
2024-04-11,3391.01
2024-04-10,3379.73
2024-04-09,3412.09
2024-04-08,3408.57
2024-04-05,3402.36
2024-04-04,3386.31
2024-04-03,3409.62
2024-04-02,3403.4
2024-04-01,3424.73
2024-03-29,3437.76
2024-03-28,3436.78
2024-03-27,3436.98
2024-03-26,3414.29
2024-03-25,3420.18
2024-03-22,3428.12
2024-03-21,3434.69
2024-03-20,3414.89
2024-03-19,3393.37
2024-03-18,3380.67
2024-03-15,3363.03
2024-03-14,3382.48
2024-03-13,3396.19
2024-03-12,3397.25
2024-03-11,3367.08
2024-03-08,3380.14
2024-03-07,3391.26
2024-03-06,3357.03
2024-03-05,3337.2
2024-03-04,3362.28
2024-03-01,3364.04
2024-02-29,3337.2
2024-02-28,3322.64
2024-02-27,3331.88
2024-02-26,3325.79
2024-02-23,3334.04
2024-02-22,3329.86
2024-02-21,3272.19
2024-02-20,3274.33
2024-02-19,3286.86
2024-02-16,3285.12
2024-02-15,3289.74
2024-02-14,3265.67
2024-02-13,3240.26
2024-02-12,3281.01
2024-02-09,3281.42
2024-02-08,3266.14
2024-02-07,3265.07
2024-02-06,3244.51
2024-02-05,3233.53
2024-02-02,3247.64
2024-02-01,3226.8
2024-01-31,3205.32
2024-01-30,3236.76
2024-01-29,3236.32
2024-01-26,3216.23
2024-01-25,3212.32
2024-01-24,3203.55
2024-01-23,3190.9
2024-01-22,3189.1
2024-01-19,3175.36
2024-01-18,3143.2
2024-01-17,3120.44
2024-01-16,3146.04
2024-01-15,3165.14
2024-01-12,3168.31
2024-01-11,3157.32
2024-01-10,3161.5
2024-01-09,3146.97
2024-01-08,3153.62
2024-01-05,3120.55
2024-01-04,3114.12
2024-01-03,3115.68
2024-01-02,3145.42
2024-01-01,3169.25
2023-12-29,3169.18
2023-12-28,3178.05
2023-12-27,3175.65
2023-12-26,3162.65
2023-12-25,3152.49
2023-12-22,3152.26
2023-12-21,3145.09
2023-12-20,3121.79
2023-12-19,3153.35
2023-12-18,3131.35
2023-12-15,3126.14
2023-12-14,3128.89
2023-12-13,3101.08
2023-12-12,3067.44
2023-12-11,3056.42
2023-12-08,3047.21
2023-12-07,3037.45
2023-12-06,3020.98
2023-12-05,3023.22
2023-12-04,3026.59
2023-12-01,3040.7
2023-11-30,3023.63
2023-11-29,3013.93
2023-11-28,3012.57
2023-11-27,3007.99
2023-11-24,3015.19
2023-11-23,3008.74
2023-11-22,3004.76
2023-11-21,2999.87
2023-11-20,3004.88
2023-11-17,2985.19
2023-11-16,2973
2023-11-15,2975.19
2023-11-14,2963.36
2023-11-13,2904.64
2023-11-10,2900.76
2023-11-09,2878.98
2023-11-08,2888.41
2023-11-07,2887.39
2023-11-06,2889.44
2023-11-03,2883.8
2023-11-02,2852.55
2023-11-01,2797.49
2023-10-31,2768.62
2023-10-30,2757.59
2023-10-27,2731.99
2023-10-26,2740.96
2023-10-25,2772.11
2023-10-24,2801.96
2023-10-23,2786.75
2023-10-20,2791.24
2023-10-19,2824.45
2023-10-18,2851.89
